Date,MSCI World
01/2004,224182.70000000004
02/2004,227936.70000000004
03/2004,226424.20000000004
04/2004,221786.70000000004
05/2004,223807.4
06/2004,228401.89999999997
07/2004,220944.6
08/2004,221915.7
09/2004,226113.8
10/2004,231646.9
11/2004,243815.6
12/2004,253122.8
01/2005,247423.9
02/2005,255261.8
03/2005,250306.80000000005
04/2005,244852.79999999996
05/2005,249203.2
06/2005,251359.49999999997
07/2005,260139.9
08/2005,262100.10000000006
09/2005,268907.8
10/2005,262383.80000000005
11/2005,271126.3
12/2005,277133.00000000006
01/2006,289507.9
02/2006,289076.9
03/2006,295433.4
04/2006,304403.00000000006
05/2006,294004.9
06/2006,293918.7
07/2006,295753.00000000006
08/2006,303429.9
09/2006,307047.9
10/2006,318317.4
11/2006,326112.4
12/2006,332742.60000000003
01/2007,336670.7
02/2007,334918.8
03/2007,341049.6
04/2007,356090.5
05/2007,366068
06/2007,363244.4
07/2007,355199.8
08/2007,354930.4
09/2007,371809.2
10/2007,383213.2
11/2007,367549.1
12/2007,362807.2
01/2008,335081.69999999995
02/2008,333142.3
03/2008,329949.1
04/2008,347290.5
05/2008,352586.1
06/2008,324464.9
07/2008,316536.8
08/2008,312090.50000000006
09/2008,274971.1
10/2008,222836.3
11/2008,208412.39999999997
12/2008,215098.99999999997
01/2009,196255.1
02/2009,176166.6
03/2009,189451.1
04/2009,210703.6
05/2009,229794.6
06/2009,228757.9
07/2009,248133
08/2009,258369.7
09/2009,268667.9
10/2009,263888
11/2009,274671.2
12/2009,279603.5
01/2010,268047.2
02/2010,271825.8
03/2010,288660.1
04/2010,288700.60000000003
05/2010,261046.5
06/2010,252096.2
07/2010,272534.4
08/2010,262359.3
09/2010,286823.2
10/2010,297514.7
11/2010,291091.49999999994
12/2010,312494.1
01/2011,319553.89999999997
02/2011,330742.4
03/2011,327480.69999999995
04/2011,341392.9
05/2011,334310.60000000003
06/2011,329021.9
07/2011,323056
08/2011,300294.4
09/2011,274357.8
10/2011,302736.50000000006
11/2011,295345
12/2011,295180.9
01/2012,309994
02/2012,325136.8
03/2012,329316.9
04/2012,325577.2
05/2012,297472.1
06/2012,312629.9
07/2012,316648.89999999997
08/2012,324676.5
09/2012,333596.5
10/2012,331342.2
11/2012,335585
12/2012,341896.1
01/2013,359312.1
02/2013,359905.4
03/2013,368335.6
04/2013,379934.8
05/2013,380078.29999999993
06/2013,370713
07/2013,390229.5
08/2013,381923.50000000006
09/2013,401024.5
10/2013,416722
11/2013,424127.8
12/2013,433102.2
01/2014,417060.8
02/2014,437939.3
03/2014,438573.1
04/2014,443067.1
05/2014,451784.4
06/2014,459866.4
07/2014,452527.3
08/2014,462498.8
09/2014,449946.1
10/2014,452856.8
11/2014,461932.3999999999
12/2014,454483.70000000007
01/2015,446248.6
02/2015,472393.7
03/2015,464999.1
04/2015,475904.49999999994
05/2015,477543.9
06/2015,466439.9
07/2015,474812.50000000006
08/2015,443392
09/2015,427037.70000000007
10/2015,460878
11/2015,458584.8
12/2015,450524.1
01/2016,423571.8
02/2016,420419.4000000001
03/2016,448948.6
04/2016,456052.6
05/2016,458614
06/2016,453475.1
07/2016,472633.70000000007
08/2016,473026.5
09/2016,475539.2
10/2016,466336.1
11/2016,473041.6
12/2016,484360.7
01/2017,496050.8
02/2017,509813
03/2017,515243.50000000006
04/2017,522872.6
05/2017,533933.7000000001
06/2017,535988
07/2017,548815.5
08/2017,549588.3
09/2017,561923.4
10/2017,572542.9
11/2017,584948.5
12/2017,592859.1
01/2018,624162.1
02/2018,598304.6999999998
03/2018,585263.8
04/2018,591989.1
05/2018,595698.8000000002
06/2018,595414.6
07/2018,614011.4999999999
08/2018,621608.6
09/2018,625069.8
10/2018,579172.3
11/2018,585751.6
12/2018,541212.2
01/2019,583321.7
02/2019,600862.1
03/2019,608754.1
04/2019,630340.1
05/2019,593968.9
06/2019,633108.4
07/2019,636244.4
08/2019,623230.3
09/2019,636493.3
10/2019,652690.4
11/2019,670868
12/2019,690966
01/2020,686760.3
02/2020,628711.7
03/2020,545506.3
04/2020,605099.7
05/2020,634331.0000000001
06/2020,651109.7
07/2020,682259.7
08/2020,727844.4
09/2020,702734.4
10/2020,681178
11/2020,768274.5000000001
12/2020,800846.8
01/2021,792887.5
02/2021,813204.7
03/2021,840261.7
04/2021,879367.6
05/2021,892035.2999999998
06/2021,905330.9
07/2021,921548
08/2021,944483.8
09/2021,905268.3000000002
10/2021,956543.2
11/2021,935582.5
12/2021,975569.4
01/2022,923951.2
02/2022,900583.3
03/2022,925298.4
